Zone,District,Fiscal Month Number,Fiscal Year,Month Name,Diversion Rate-Total (Total Recycling / Total Waste),Capture Rate-Paper (Total Paper / Max Paper),Capture Rate-MGP (Total MGP / Max MGP),Capture Rate-Total ((Total Recycling - Leaves (Recycling)) / (Max Paper + Max MGP))x100
Bronx,BX11,9.000000000000000,2015.000000000000000,March,67.508239910763209,34.692319011568401,50.947745667006501,497.218905397434014
Bronx,BX12,9.000000000000000,2015.000000000000000,March,69.964692224851206,33.081471768280899,66.773631049101098,546.422855402170057
Manhattan,MN01,9.000000000000000,2015.000000000000000,March,80.692964693459885,43.438896034267600,60.234726051688199,594.682896394420027
Manhattan,MN02,9.000000000000000,2015.000000000000000,March,80.054034268536000,35.795168866121294,72.871101121098505,577.722077639036002
Manhattan,MN03,9.000000000000000,2015.000000000000000,March,63.274923397180892,41.771680162526998,36.060999049304499,480.164709299514016
Manhattan,MN04,9.000000000000000,2015.000000000000000,March,76.108305946589709,30.418513773089597,64.976943271943000,483.283379157132003
Manhattan,MN05,9.000000000000000,2015.000000000000000,March,74.752331774421606,31.381483508775897,53.699082558635901,455.655020687430067
Manhattan,MN06,9.000000000000000,2015.000000000000000,March,78.466735492704402,32.109081638133290,65.002803479474110,548.231725982993112
Manhattan,MN07,9.000000000000000,2015.000000000000000,March,80.109212795302298,39.849109173277000,66.926517111948201,574.100089581831071
Manhattan,MN08,9.000000000000000,2015.000000000000000,March,80.429724343015792,41.032572796910891,67.675868572418096,586.807776449790026
Manhattan,MN09,9.000000000000000,2015.000000000000000,March,67.619518157573495,53.514274489751799,39.752392121076802,564.727727629919059
Manhattan,MN10,9.000000000000000,2015.000000000000000,March,60.683333458774499,36.735609893459497,45.512765092243491,432.180241191648008
Manhattan,MN11,9.000000000000000,2015.000000000000000,March,56.942695983420805,40.278668750469599,27.972457704361798,372.992002615020056
Manhattan,MN12,9.000000000000000,2015.000000000000000,March,66.297329306097197,43.111478340110295,50.872671042121794,536.502445427091061
Queens East,QE07,9.000000000000000,2015.000000000000000,March,73.741278520435600,49.697689925621297,58.329841775842795,637.703577591210092
Queens East,QE08,9.000000000000000,2015.000000000000000,March,69.831803901108287,30.805329404231596,47.357377454563597,423.988604319909996
Queens East,QE10,9.000000000000000,2015.000000000000000,March,73.586605153400285,35.145847359484797,70.511762879281889,591.622887349333041
Queens East,QE11,9.000000000000000,2015.000000000000000,March,79.099259475604384,53.519144144624399,75.681365933230708,750.111648038721114
Queens East,QE12,9.000000000000000,2015.000000000000000,March,65.995232229639200,35.951057403698698,59.599530062909189,537.882957582908034
Queens East,QE13,9.000000000000000,2015.000000000000000,March,73.328337561013797,35.602283675300498,75.047889517264394,578.998343797523034
Queens East,QE14,9.000000000000000,2015.000000000000000,March,60.882514142305098,31.006023259576001,33.253328908709392,386.139234213124041
Queens West,QW01,9.000000000000000,2015.000000000000000,March,73.563820434299487,44.748401752219301,65.930444289599706,632.958088401826103
Queens West,QW02,9.000000000000000,2015.000000000000000,March,73.729869154238401,46.936279249028004,63.497347927412896,636.977323187277989
Queens West,QW03,9.000000000000000,2015.000000000000000,March,66.470942388350792,30.560719225941000,55.682456064770392,476.224837370789032
Queens West,QW04,9.000000000000000,2015.000000000000000,March,65.012546269709006,31.708685317672501,46.540003975655999,451.188754998150046
Queens West,QW05,9.000000000000000,2015.000000000000000,March,77.482812807050493,46.898995521254200,77.456810884532686,737.342967588544980
Queens West,QW06,9.000000000000000,2015.000000000000000,March,75.734805908219997,30.922825826206598,61.364961701863493,475.241351841928065
Queens West,QW09,9.000000000000000,2015.000000000000000,March,72.975499199876296,40.961865431658694,67.391088089164100,619.293763852917095
Staten Island,SI01,9.000000000000000,2015.000000000000000,March,73.781656739173798,39.248713115042491,63.155844319296193,592.612535301573075
Staten Island,SI02,9.000000000000000,2015.000000000000000,March,76.068954653773190,45.433002796428497,64.047170380425683,653.852620185097066
Staten Island,SI03,9.000000000000000,2015.000000000000000,March,77.593606407711690,48.136893993889807,69.196496147767405,701.222295061142063
Brooklyn North,BKN01,9.000000000000000,2016.000000000000000,March,59.496421015139298,42.800845631775992,46.670107998201296,397.936831445521022
Brooklyn North,BKN02,9.000000000000000,2016.000000000000000,March,66.705370314980897,31.233692392215200,55.597525501325400,357.047368194055025
Brooklyn North,BKN03,9.000000000000000,2016.000000000000000,March,51.540321365809803,31.896715844238297,40.997092284958896,298.619287552727030
Brooklyn North,BKN04,9.000000000000000,2016.000000000000000,March,58.071978607632992,31.529064864000500,62.134842807295996,377.184592336336038
Brooklyn North,BKN05,9.000000000000000,2016.000000000000000,March,49.803731407488698,23.577005824456602,40.993332746440899,283.449114152320988
Brooklyn North,BKN08,9.000000000000000,2016.000000000000000,March,61.743339345521498,41.927557063096600,54.865293254192196,430.664119028608070
Brooklyn North,BKN09,9.000000000000000,2016.000000000000000,March,56.137914191097096,28.243208475715900,40.869830745748800,316.233517320051988
Brooklyn North,BKN16,9.000000000000000,2016.000000000000000,March,45.032721804530894,21.947720311027503,31.959982859706599,237.869890766332986
Brooklyn North,BKN17,9.000000000000000,2016.000000000000000,March,59.285806702799896,26.952694742149795,56.364816076059000,352.768811787968048
Brooklyn South,BKS06,9.000000000000000,2016.000000000000000,March,78.285829500430893,44.441201563840302,83.348902855367996,545.746155125786117
Brooklyn South,BKS07,9.000000000000000,2016.000000000000000,March,70.315644165165395,44.905251708506000,67.587142977482898,520.985378663869028
Brooklyn South,BKS10,9.000000000000000,2016.000000000000000,March,73.531745388311592,51.708743632011299,73.636769854570900,574.027397411423067
Brooklyn South,BKS11,9.000000000000000,2016.000000000000000,March,68.229811288683209,43.971545393845496,61.344169384034394,493.145623639175028
Brooklyn South,BKS12,9.000000000000000,2016.000000000000000,March,63.848067611208101,50.647728303742099,42.296089704592497,475.380661840463006
Brooklyn South,BKS13,9.000000000000000,2016.000000000000000,March,59.165741829708494,39.676509053044192,49.911050148283095,402.217161729795009
Brooklyn South,BKS14,9.000000000000000,2016.000000000000000,March,63.082187145660299,31.577195493912701,53.273958945262898,374.271115103725037
Brooklyn South,BKS15,9.000000000000000,2016.000000000000000,March,68.870372728476497,46.275063420580892,58.937933009385794,506.715100485472021
Brooklyn South,BKS18,9.000000000000000,2016.000000000000000,March,63.573263013684596,31.438744069329001,56.696522668953094,382.723978891216063
Bronx,BX01,9.000000000000000,2016.000000000000000,March,36.145850472411098,19.183378693280201,23.212422015594903,170.320491681852019
Bronx,BX02,9.000000000000000,2016.000000000000000,March,53.808752246652098,33.210459959419694,49.823756179229591,327.564591071676034
Bronx,BX03,9.000000000000000,2016.000000000000000,March,43.436705051350494,26.821292380075000,37.847438684529600,222.773762022722025
Bronx,BX04,9.000000000000000,2016.000000000000000,March,49.975765857207797,28.626475364517397,44.103098214050696,286.010638907619011
Bronx,BX05,9.000000000000000,2016.000000000000000,March,52.877458078841599,28.912801464018397,49.369047601133900,318.415411940846070
Bronx,BX06,9.000000000000000,2016.000000000000000,March,54.147012165572399,34.748833453168295,39.318744737419991,319.234444637552031
Bronx,BX07,9.000000000000000,2016.000000000000000,March,56.422930769442203,32.272238501400103,55.682138603009392,361.338199177061995
Bronx,BX08,9.000000000000000,2016.000000000000000,March,68.861269410116904,39.537534459907299,76.140602972068208,457.210986539144074
Bronx,BX09,9.000000000000000,2016.000000000000000,March,47.853545310712498,22.540536892412600,39.394287825990098,263.327209722269004
Bronx,BX10,9.000000000000000,2016.000000000000000,March,66.602310638179304,38.881369249531296,64.561273341577603,455.570528868998053
Bronx,BX11,9.000000000000000,2016.000000000000000,March,61.195692372358998,32.407132511974396,52.462308673451801,378.825130576266019
Bronx,BX12,9.000000000000000,2016.000000000000000,March,64.884480203933194,32.186845478741702,70.908403910489000,431.704870315030007
Manhattan,MN01,9.000000000000000,2016.000000000000000,March,77.461920126149394,46.354026676371298,68.460570903639891,473.445601068786061
